ITEM,CONTEXT,SENTENCE1,SENTENCE2,OBJETOAFETADO
1,"O trabalhador precisava ajustar a estrutura de ferro. Ele prendeu uma extremidade da barra e puxou com força para mudar a posição do material.","A barra foi entortada","A barra entortou",a barra
2,"A chapa de alumínio ficou sobre o telhado durante uma semana de muito sol. Com o calor constante, sua superfície começou a se deformar.","A chapa foi empenada","A chapa empenou",a chapa
3,"A aluna queria fazer um envelope. Ela pegou uma folha de papel em branco e a moldou até criar o formato que havia planejado.","A folha de papel foi dobrada","A folha de papel dobrou",a folha de papel
